PING 192.168.250.120 (192.168.250.120) 56(84) bytes of data.
64 bytes from 192.168.250.120: icmp_seq=194 ttl=64 time=13.5 ms
64 bytes from 192.168.250.120: icmp_seq=195 ttl=64 time=12.9 ms
64 bytes from 192.168.250.120: icmp_seq=196 ttl=64 time=8.95 ms
64 bytes from 192.168.250.120: icmp_seq=197 ttl=64 time=9.28 ms
64 bytes from 192.168.250.120: icmp_seq=198 ttl=64 time=31.9 ms
64 bytes from 192.168.250.120: icmp_seq=199 ttl=64 time=15.0 ms
64 bytes from 192.168.250.120: icmp_seq=200 ttl=64 time=9.16 ms
64 bytes from 192.168.250.120: icmp_seq=201 ttl=64 time=11.3 ms
64 bytes from 192.168.250.120: icmp_seq=202 ttl=64 time=11.1 ms
64 bytes from 192.168.250.120: icmp_seq=203 ttl=64 time=7.23 ms
64 bytes from 192.168.250.120: icmp_seq=204 ttl=64 time=12.0 ms
64 bytes from 192.168.250.120: icmp_seq=205 ttl=64 time=11.7 ms
64 bytes from 192.168.250.120: icmp_seq=206 ttl=64 time=7.62 ms
64 bytes from 192.168.250.120: icmp_seq=207 ttl=64 time=8.28 ms
64 bytes from 192.168.250.120: icmp_seq=208 ttl=64 time=10.6 ms
64 bytes from 192.168.250.120: icmp_seq=209 ttl=64 time=1.64 ms
64 bytes from 192.168.250.120: icmp_seq=210 ttl=64 time=52.0 ms
64 bytes from 192.168.250.120: icmp_seq=211 ttl=64 time=138 ms
64 bytes from 192.168.250.120: icmp_seq=212 ttl=64 time=8.23 ms
64 bytes from 192.168.250.120: icmp_seq=213 ttl=64 time=1.56 ms
64 bytes from 192.168.250.120: icmp_seq=214 ttl=64 time=4.44 ms
64 bytes from 192.168.250.120: icmp_seq=215 ttl=64 time=5.90 ms
64 bytes from 192.168.250.120: icmp_seq=216 ttl=64 time=31.0 ms
64 bytes from 192.168.250.120: icmp_seq=217 ttl=64 time=550 ms
64 bytes from 192.168.250.120: icmp_seq=218 ttl=64 time=31.4 ms
64 bytes from 192.168.250.120: icmp_seq=219 ttl=64 time=5.65 ms
64 bytes from 192.168.250.120: icmp_seq=220 ttl=64 time=12.1 ms
64 bytes from 192.168.250.120: icmp_seq=221 ttl=64 time=10.7 ms
64 bytes from 192.168.250.120: icmp_seq=222 ttl=64 time=558 ms
64 bytes from 192.168.250.120: icmp_seq=223 ttl=64 time=4.69 ms
64 bytes from 192.168.250.120: icmp_seq=224 ttl=64 time=5.65 ms
64 bytes from 192.168.250.120: icmp_seq=225 ttl=64 time=3.41 ms
64 bytes from 192.168.250.120: icmp_seq=226 ttl=64 time=4.02 ms
64 bytes from 192.168.250.120: icmp_seq=227 ttl=64 time=7.76 ms
64 bytes from 192.168.250.120: icmp_seq=228 ttl=64 time=8.03 ms
64 bytes from 192.168.250.120: icmp_seq=229 ttl=64 time=10.8 ms
64 bytes from 192.168.250.120: icmp_seq=230 ttl=64 time=1785 ms
64 bytes from 192.168.250.120: icmp_seq=231 ttl=64 time=758 ms
64 bytes from 192.168.250.120: icmp_seq=232 ttl=64 time=10.2 ms
64 bytes from 192.168.250.120: icmp_seq=233 ttl=64 time=6.81 ms
64 bytes from 192.168.250.120: icmp_seq=234 ttl=64 time=8.96 ms
64 bytes from 192.168.250.120: icmp_seq=235 ttl=64 time=6.18 ms
64 bytes from 192.168.250.120: icmp_seq=236 ttl=64 time=6.70 ms
64 bytes from 192.168.250.120: icmp_seq=237 ttl=64 time=7.75 ms
64 bytes from 192.168.250.120: icmp_seq=238 ttl=64 time=11.5 ms
64 bytes from 192.168.250.120: icmp_seq=239 ttl=64 time=1208 ms
64 bytes from 192.168.250.120: icmp_seq=240 ttl=64 time=202 ms
64 bytes from 192.168.250.120: icmp_seq=241 ttl=64 time=3.45 ms
64 bytes from 192.168.250.120: icmp_seq=242 ttl=64 time=5.69 ms
64 bytes from 192.168.250.120: icmp_seq=243 ttl=64 time=8.35 ms
64 bytes from 192.168.250.120: icmp_seq=244 ttl=64 time=167 ms
64 bytes from 192.168.250.120: icmp_seq=245 ttl=64 time=9.21 ms
64 bytes from 192.168.250.120: icmp_seq=246 ttl=64 time=6.65 ms
64 bytes from 192.168.250.120: icmp_seq=247 ttl=64 time=10.8 ms
64 bytes from 192.168.250.120: icmp_seq=248 ttl=64 time=21.5 ms
64 bytes from 192.168.250.120: icmp_seq=249 ttl=64 time=4.16 ms
64 bytes from 192.168.250.120: icmp_seq=250 ttl=64 time=13.1 ms
64 bytes from 192.168.250.120: icmp_seq=251 ttl=64 time=8.46 ms
64 bytes from 192.168.250.120: icmp_seq=252 ttl=64 time=9.68 ms
64 bytes from 192.168.250.120: icmp_seq=253 ttl=64 time=10.6 ms
64 bytes from 192.168.250.120: icmp_seq=254 ttl=64 time=9.01 ms
64 bytes from 192.168.250.120: icmp_seq=255 ttl=64 time=11.0 ms
64 bytes from 192.168.250.120: icmp_seq=256 ttl=64 time=12.2 ms
64 bytes from 192.168.250.120: icmp_seq=257 ttl=64 time=29.2 ms
64 bytes from 192.168.250.120: icmp_seq=258 ttl=64 time=253 ms
64 bytes from 192.168.250.120: icmp_seq=259 ttl=64 time=1.94 ms
64 bytes from 192.168.250.120: icmp_seq=260 ttl=64 time=4.28 ms
64 bytes from 192.168.250.120: icmp_seq=261 ttl=64 time=4.12 ms
64 bytes from 192.168.250.120: icmp_seq=262 ttl=64 time=10.1 ms
64 bytes from 192.168.250.120: icmp_seq=263 ttl=64 time=0.928 ms
64 bytes from 192.168.250.120: icmp_seq=264 ttl=64 time=7.77 ms
64 bytes from 192.168.250.120: icmp_seq=265 ttl=64 time=4.94 ms
64 bytes from 192.168.250.120: icmp_seq=266 ttl=64 time=6.59 ms
64 bytes from 192.168.250.120: icmp_seq=267 ttl=64 time=8.31 ms
64 bytes from 192.168.250.120: icmp_seq=268 ttl=64 time=4.05 ms
64 bytes from 192.168.250.120: icmp_seq=269 ttl=64 time=14.0 ms
64 bytes from 192.168.250.120: icmp_seq=270 ttl=64 time=12.3 ms
64 bytes from 192.168.250.120: icmp_seq=271 ttl=64 time=15.3 ms
64 bytes from 192.168.250.120: icmp_seq=272 ttl=64 time=10.3 ms
64 bytes from 192.168.250.120: icmp_seq=273 ttl=64 time=8.36 ms
64 bytes from 192.168.250.120: icmp_seq=274 ttl=64 time=9.79 ms
64 bytes from 192.168.250.120: icmp_seq=275 ttl=64 time=11.2 ms
64 bytes from 192.168.250.120: icmp_seq=276 ttl=64 time=6.84 ms
64 bytes from 192.168.250.120: icmp_seq=277 ttl=64 time=13.2 ms
64 bytes from 192.168.250.120: icmp_seq=278 ttl=64 time=5.69 ms
64 bytes from 192.168.250.120: icmp_seq=279 ttl=64 time=3.48 ms
64 bytes from 192.168.250.120: icmp_seq=280 ttl=64 time=317 ms
